SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
358,MADHYA PRADESH,CHHINDWARA,275934,649471,237416,566808,7943101,3904068,2014786,30,211.4958128,528,128164,195415,3454,0,36274,23781,12493,12167.94694,8256.940347,3485.333805,425.67279
359,MADHYA PRADESH,SEONI,224455,531045,198018,480625,6685043,2767582,1559474,27,201.4515917,183,101238,164275,2470,8,30873,19484,11389,8233.474768,5575.337991,2265.985136,392.15164
360,MADHYA PRADESH,BALAGHAT,313923,685120,280725,621796,11104617,5325390,3091024,30,219.1479554,1288,174262,266172,6290,0,43652,22652,21000,15845.18014,11670.4833,3493.326617,681.37022
361,MADHYA PRADESH,SHEOPUR,140843,241464,90857,158730,2280110,2012057,773690,40,218.8935359,149,50231,70006,277,0,24697,17809,6888,10851.73567,4404.262712,6270.692684,176.78027
362,MADHYA PRADESH,UMARIA,108211,197287,95425,177994,2543963,1199814,607333,27,200.3386075,182,43721,63376,503,4,14470,9952,4518,3903.788675,2403.690661,1346.843475,153.25454
363,MADHYA PRADESH,NEEMUCH,87569,191359,50443,111587,1356301,863068,286238,37,218.2022256,107,22885,32525,252,0,11908,9121,2787,2859.301462,1883.233585,842.404098,133.66378
364,MADHYA PRADESH,BARWANI,207956,481382,153529,371758,2986297,1323362,564435,25,193.3026,177,52574,90873,444,1,35447,25508,9939,3789.27187,2558.093153,983.9000067,247.27871
365,MADHYA PRADESH,HARDA,51163,117535,35095,82240,878468,309702,131740,25,222.8412228,18,12319,20032,103,1,6542,4846,1696,1228.263735,690.1437238,423.6299011,114.49011
366,MADHYA PRADESH,KATNI,172726,374186,149889,329262,4441304,1960160,1071366,27,188.0617254,126,71763,105447,487,0,16955,10867,6088,5221.814543,3686.310717,1252.463866,283.03996
367,MADHYA PRADESH,DINDORI,201715,385182,194314,374424,9389502,4831907,2452973,31,199.7660814,674,152463,227913,1663,0,33030,20490,12540,15408.8365,9652.51127,5532.571663,223.75357
368,MADHYA PRADESH,ANUPPUR,152866,312121,132323,275559,4226423,1993036,993825,29,196.1226584,236,67357,101015,1670,0,16811,11967,4844,7724.869929,3908.795187,3656.178752,159.89599
369,MADHYA PRADESH,BURHANPUR,87700,218018,57705,153485,1659102,613136,285639,29,219.7065668,220,20571,37792,321,0,11225,7724,3501,2233.761646,1347.100056,797.3171598,89.34443
370,MADHYA PRADESH,ASHOK NAGAR,242608,536035,88990,165810,2453585,1693286,558995,45,220.9291304,240,36970,54340,328,4,15742,12655,3087,5280.364481,3740.962036,1338.095486,201.30696
371,MADHYA PRADESH,ALIRAJPUR,135373,316891,111103,272109,3027170,1548097,595147,33,203.4156517,511,46570,79353,1297,0,25541,15559,9982,5041.315056,3149.071602,1706.884544,185.35891
372,MADHYA PRADESH,SINGRAULI,164062,294195,124757,229334,3981814,2221009,890328,34,220.77703,270,63525,97102,852,0,36451,22668,13783,7221.293539,4903.477705,2131.951134,185.8647
373,MADHYA PRADESH,AGAR-MALWA,103044,210818,59660,129506,1925671,878582,337005,34,221.4574569,66,25175,38926,297,2,15042,10837,4205,3463.391949,1945.685354,1346.243035,171.46356
374,MADHYA PRADESH,NIWARI,46989,84449,39715,72066,1493510,599295,230902,33,214.7521911,32,17651,27780,153,0,10549,8234,2315,3497.382356,1286.999143,2134.449313,75.9339
375,MAHARASHTRA,THANE,129795,313065,26767,85962,362695,167312,71938,21,292.7968311,86,7874,13663,26,10,11594,9643,1951,618.411077,489.8842341,128.2676529,0.25919
376,MAHARASHTRA,RAIGAD,168464,312395,25747,59936,315137,114703,51491,18,311.8407801,46,6216,10631,23,132,15468,14690,778,443.0773841,357.69073,85.38665412,0
377,MAHARASHTRA,RATNAGIRI,248577,465109,57385,133128,671140,238313,102711,16,308.1392035,58,14398,21739,118,46,31783,27673,4110,1191.726516,734.33578,402.0527356,55.338
378,MAHARASHTRA,SINDHUDURG,126000,237598,39210,90248,346847,171385,70041,17,294.7688778,63,9808,16173,92,13,21208,19527,1681,684.0895708,505.1896413,153.5787095,25.32122
379,MAHARASHTRA,NASHIK,654330,1412275,171471,489938,2461966,1150004,430420,25,294.5456315,1031,45651,75501,338,56,52879,47300,5579,4962.383208,3387.286544,1561.240374,13.85629
380,MAHARASHTRA,DHULE,415257,885955,84363,234707,966072,603169,245802,23,294.4514294,497,25364,41952,55,16,27457,24756,2701,2180.734186,1776.039742,383.2969242,21.39752
381,MAHARASHTRA,JALGAON,631741,1208991,126030,313177,2171189,771696,311380,22,287.4423571,493,34687,52234,80,67,43677,38935,4742,2894.387981,2218.181172,565.7549789,110.45183
382,MAHARASHTRA,AHMEDNAGAR,754734,1864673,143212,408247,1583575,1008413,426030,24,308.971201,1209,40398,64193,78,44,44340,35500,8840,4368.748216,3115.705758,1238.162248,14.88021
383,MAHARASHTRA,PUNE,360089,776168,51381,136424,612902,175375,77520,21,323.9140408,78,8269,13596,46,235,25170,22657,2513,993.6712248,568.064249,413.8369058,11.77007
384,MAHARASHTRA,SATARA,391726,737640,60370,134405,746335,329267,146231,22,305.7022993,334,14532,22043,105,313,16546,13631,2915,1417.087664,1006.57679,379.6374645,30.87341
385,MAHARASHTRA,SANGLI,303393,532229,43840,93686,581025,212642,80463,24,285.8940097,122,8576,12520,16,79,16299,15262,1037,981.3189395,607.93074,366.0949295,7.29327
386,MAHARASHTRA,SOLAPUR,519111,894543,62628,146594,763835,290387,109773,20,295.2175784,229,14335,23281,29,138,21266,19228,2038,1380.660819,857.2734695,455.1594493,68.2279
387,MAHARASHTRA,KOLHAPUR,341673,599053,40257,98031,368737,193755,85173,20,292.1456611,45,9405,16538,25,174,11483,10052,1431,842.3943214,566.0468257,231.2486957,45.0988
388,MAHARASHTRA,AURANGABAD,639860,1336934,157376,414085,3063040,2835995,1231471,32,300.6400289,4831,86051,145054,452,30,54156,52471,1685,11195.41305,8526.136188,2396.552158,272.7247
389,MAHARASHTRA,JALNA,436059,1008600,131002,361614,2389432,2345962,1042965,31,290.8585624,3026,74286,141263,283,26,42618,40366,2252,7957.921096,6823.431347,916.0358594,218.45389
390,MAHARASHTRA,PARBHANI,377750,748495,108858,253669,2628171,1603023,639925,28,302.6219192,1470,55709,89364,118,69,29097,28697,400,5570.135415,4851.098968,553.1839973,165.85245
391,MAHARASHTRA,BEED,592305,1241866,173006,430558,4199765,3568045,1567863,31,290.1315897,6742,111786,188761,183,151,45573,45077,496,13271.89701,10352.02568,2908.313552,11.55778
392,MAHARASHTRA,NANDED,629776,1431038,140640,381998,2598402,1809544,827303,28,285.1134746,1893,63004,99863,106,93,39183,37088,2095,6810.939824,5159.253774,1643.13007,8.55598
393,MAHARASHTRA,OSMANABAD,308682,680207,61378,164764,1266627,698833,269504,31,291.6587518,794,22462,34240,89,84,20890,20110,780,3070.209592,2038.207605,1010.016577,21.98541
394,MAHARASHTRA,LATUR,354506,768114,99543,256277,2033429,2107372,937508,37,302.5601175,4342,56147,92253,146,15,24941,21862,3079,8504.436409,6376.0672,1882.659149,245.71006
395,MAHARASHTRA,BULDHANA,464400,969313,100084,242236,1210747,620651,218733,16,299.0978505,41,38612,55166,77,26,24754,20753,4001,2760.210084,1856.3538,826.6545937,77.20169
396,MAHARASHTRA,AKOLA,270640,529337,75770,173958,923923,468726,171638,18,287.4302903,263,25362,35993,1364,9,19229,16070,3159,1581.798845,1347.260503,171.0258624,63.51248
397,MAHARASHTRA,AMRAVATI,455198,1018353,177475,495022,7436037,3272803,1546222,43,305.9207519,9673,76011,139121,721,8,46822,34805,12017,14564.54627,10012.18354,4469.192096,83.17063
398,MAHARASHTRA,YAVATMAL,650482,1342092,174082,407546,2820338,2329626,985921,28,283.5423067,1750,80361,118071,328,28,42429,34402,8027,8389.153552,6605.475299,1521.655013,262.02324
399,MAHARASHTRA,WARDHA,202573,379180,46500,114000,842513,491369,192070,30,300.8969514,599,15928,25916,117,20,11855,9972,1883,2108.733877,1478.514341,621.0817561,9.13778
400,MAHARASHTRA,NAGPUR,263429,512967,97043,223941,2055576,675941,284744,26,278.1057823,593,25712,36871,204,49,18799,15624,3175,2880.453578,1879.831006,881.1125816,119.50999
401,MAHARASHTRA,BHANDARA,281824,625366,190613,462373,3749838,2725031,1712591,23,183.6775369,623,115778,187749,4740,8,25846,17164,8682,6724.58411,5005.269821,1631.33829,87.976
402,MAHARASHTRA,CHANDRAPUR,366456,890277,169036,488064,3757986,2490690,1345264,30,239.7641629,1669,82872,145290,483,12,33392,25963,7429,8296.895929,5971.782029,2240.65967,84.45423
403,MAHARASHTRA,GADCHIROLI,225926,596902,131730,391731,2754089,1370612,687491,25,270.4436553,724,54645,96143,272,10,16113,10316,5797,6021.517503,3706.733192,2233.429061,81.35525
404,MAHARASHTRA,NANDURBAR,508982,1045507,157506,380764,1834392,769167,326361,20,284.5181223,445,37566,55609,62,50,50851,46874,3977,3112.252042,2188.419506,753.2196964,170.61284
405,MAHARASHTRA,WASHIM,256093,512189,54974,131385,848608,454307,176906,18,295.1857924,49,25139,37528,125,20,16562,15329,1233,1687.779596,1341.049718,266.0547578,80.67512
406,MAHARASHTRA,GONDIA,342062,817439,233211,603510,5692334,3231752,2083288,25,210.2001535,1203,125697,196623,279,13,40477,29142,11335,12150.68133,6793.147664,5287.097072,70.43659
407,MAHARASHTRA,HINGOLI,254727,575717,84542,221809,1594931,1347188,562979,33,287.6403506,1745,40420,64993,71,32,19566,17954,1612,4914.133787,3875.056287,1039.0775,0
408,MAHARASHTRA,PALGHAR,290297,697084,123196,375798,4348367,2085764,1228551,31,264.7803543,2768,66406,128092,642,22,40680,32718,7962,8334.896447,5522.69331,2740.773148,71.42999
409,MANIPUR,BISHNUPUR,54162,92022,51001,86037,2168880,4964,3235,6,995.1676068,0,726,733,7,0,1454,1454,0,1002.932338,49.40012,915.0881578,38.44406
410,MANIPUR,CHANDEL,20428,28645,20165,28298,855248,10530,5726,4,1693.240931,0,2142,2143,0,395,631,628,3,397.6156038,178.29827,202.3173338,17
411,MANIPUR,CHURACHANDPUR,55835,76134,53526,72302,2322487,121307,55308,6,229.0030996,0,17469,17494,12,326,2793,2780,13,299.31475,277.79679,18.21796,3.3
412,MANIPUR,IMPHAL EAST,115873,134310,110088,128008,4784243,97919,60861,7,2245.426028,0,12441,12674,34,0,3735,3735,0,4280.421752,2198.698712,2008.78645,72.93659
413,MANIPUR,IMPHAL WEST,68691,134097,66724,130655,2844240,142284,91099,7,573.5674496,0,18473,19053,23,0,2669,2630,39,1914.230527,816.09471,1092.965817,5.17
414,MANIPUR,JIRIBAM,10240,19214,9355,17870,416334,7803,3717,6,44.68012303,0,1234,1235,31,0,435,435,0,371.70375,3.48639,368.21736,0
415,MANIPUR,KAKCHING,33403,64992,30889,60886,1561725,95865,53760,23,750.5734001,0,4030,4663,151,0,936,933,3,1366.317094,719.53719,646.7799044,0
416,MANIPUR,KAMJONG,15287,19420,14335,18192,659213,39013,14715,8,1576.067388,0,4449,4459,19,4,655,655,0,779.5821092,614.87117,161.1859392,3.525
417,MANIPUR,KANGPOKPI,39157,85913,36871,81625,1620931,0,0,0,0,0,0,0,0,383,2394,2394,0,306.0643774,189.15913,106.9350474,9.9702
418,MANIPUR,NONEY,9438,17870,9039,17289,535124,59600,22850,10,753.1591443,0,5914,5933,1,41,431,431,0,645.1025461,448.88285,159.1996961,37.02
419,MANIPUR,PHERZAWL,9111,14565,9099,14553,335388,47735,15317,7,109.5080968,0,6428,6506,2,36,388,360,28,52.27369,52.27369,0,0
