SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
452,NAGALAND,MOKOKCHUNG,35676,54243,34998,53301,1193811,1197160,541192,36,215.1076681,0,32853,35229,14,1,684,651,33,3263.42524,2575.18296,638.5912801,49.651
453,NAGALAND,MON,56133,63392,55844,63103,1790051,1770521,802703,33,224.5171404,0,52867,54488,25,1,864,808,56,4748.68794,3975.12312,738.63682,34.928
454,NAGALAND,PEREN,34230,57256,33197,55810,1124152,1124152,503669,43,223.9115636,1,26023,39109,20,1,592,548,44,5640.335414,2517.10632,3109.248094,13.981
455,NAGALAND,PHEK,38700,66339,37972,65247,1234038,1328948,615281,39,226.7924554,0,34028,36464,119,1,1494,1308,186,3731.68358,3013.9538,682.2364803,35.4933
456,NAGALAND,TUENSANG,51056,94029,47722,88848,1670991,1643404,666451,38,223.759913,0,42568,49826,14,1,1309,1211,98,4457.310619,3677.27936,752.454059,27.5772
457,NAGALAND,WOKHA,37445,43603,36424,42490,1178136,1162353,489587,36,249.9214545,0,32132,32233,4,0,1248,1173,75,3648.95888,2904.969524,703.8827561,40.1066
458,NAGALAND,ZUNHEBOTO,38009,81238,33700,76018,1206586,1204565,584577,36,223.8501036,10,33358,35277,8,1,960,887,73,3567.538173,2696.42,841.7621731,29.356
459,ODISHA,SAMBALPUR,130390,236272,96187,177188,2895591,1419558,656352,32,241.0901182,513,44136,65985,111,0,23121,19856,3265,4074.179997,3422.41406,538.5363873,113.22955
460,ODISHA,SUNDARGARH,246957,412074,227929,381885,10728970,5954876,2912092,40,195.1287107,4783,145684,199375,552,0,59509,53460,6049,12726.14905,11619.67276,860.6648894,245.8114
461,ODISHA,KENDUJHAR,312332,572550,259660,496995,8732723,4981307,2550631,36,238.3544221,2237,135974,204646,455,0,38991,35034,3957,12920.65824,11873.16551,790.201068,257.29166
462,ODISHA,MAYURBHANJ,426651,730805,348862,620091,15045015,7165245,3646918,38,238.4506663,2757,187939,261517,374,0,75504,67311,8193,19643.5943,17085.57445,2140.372025,417.64783
463,ODISHA,BALESHWAR,254373,422203,164027,289793,2569846,1393256,622570,27,244.964539,319,51277,71213,189,0,31571,29980,1591,4082.838175,3412.983138,477.9430071,191.91203
464,ODISHA,CUTTACK,203824,384317,137340,276209,2007507,1477395,619080,29,241.1835825,363,49529,79340,221,0,19366,16322,3044,4311.124232,3563.234188,538.6440137,209.24603
465,ODISHA,DHENKANAL,203250,374612,167901,316113,4623961,3231105,1573554,39,227.3853951,2026,82032,121788,210,0,33910,32106,1804,8310.0224,7347.060871,821.9538094,141.00772
466,ODISHA,KANDHAMAL,159444,284891,146821,263032,7838677,5234582,2639877,45,226.198949,7235,113973,180342,3360,0,35114,32411,2703,13579.38076,11840.56947,1513.729257,225.08203
467,ODISHA,BOLANGIR,278003,524884,233654,453766,8725813,5361748,2587782,41,313.4592511,9482,128346,224030,517,0,52110,47482,4628,18505.15902,16806.89512,1410.909574,287.35432
468,ODISHA,KALAHANDI,267924,488677,219076,412074,6913961,4995735,2510906,39,323.4635368,8296,127025,210116,351,0,42447,36483,5964,21832.70941,16159.38112,5437.116606,236.21168
469,ODISHA,KORAPUT,254297,398552,216772,348870,9279893,4968746,2314678,40,234.338773,3201,122312,163958,557,0,42127,36976,5151,15296.42049,11643.69841,3416.879557,235.84252
470,ODISHA,GANJAM,467693,711658,432457,666145,20526071,11374065,6694233,45,232.1151742,10953,247410,300224,506,0,66429,54060,12369,29189.93008,26400.93079,2215.9527,573.04659
471,ODISHA,PURI,188824,369326,124532,265645,1669204,1384709,584468,27,243.3040699,493,50572,85605,135,0,24813,22591,2222,3969.204262,3369.053353,393.6666198,206.48429
472,ODISHA,BARGARH,189803,350846,143047,279884,4094382,2173564,943256,37,317.7304941,3167,57533,96541,187,0,22994,18742,4252,7484.700721,6906.075636,289.8806651,288.74442
473,ODISHA,JHARSUGUDA,63075,119055,50196,99296,1569269,882903,421851,38,239.6160714,831,22796,34970,69,0,8778,8017,761,2514.485807,2115.577483,319.1612433,79.74708
474,ODISHA,DEOGARH,65760,122967,53604,103213,1438387,920454,474195,36,247.8342913,368,25314,39271,182,0,6846,6383,463,2990.95976,2281.200648,612.7628526,96.99626
475,ODISHA,BHADRAK,194475,288411,137211,211550,1955636,2379560,1068444,33,244.4128755,454,71521,98214,182,0,19334,17210,2124,7370.798157,5815.95102,1459.345417,95.50172
476,ODISHA,KENDRAPARA,200293,345995,146196,267427,1966232,1415159,565684,27,241.0480542,231,51531,74623,240,2,20229,19894,335,3967.467326,3411.213233,459.6907227,96.56337
477,ODISHA,JAGATSINGHAPUR,126497,216501,91860,166001,1114013,1563005,674144,34,246.425255,272,45320,73622,140,0,10388,9684,704,4321.562836,3851.639056,391.5828696,78.34091
478,ODISHA,JAJPUR,204998,321981,143943,240109,1880146,2096898,883776,32,235.6761341,886,64331,93619,233,0,28488,26996,1492,5907.301536,4941.888142,818.3726639,147.04073
479,ODISHA,ANGUL,169931,305238,142135,262299,3575154,2520868,1278955,41,236.5272019,1379,60929,89051,186,2,22187,20404,1783,6609.159871,5962.538545,531.1824658,115.43886
480,ODISHA,NAYAGARH,167236,342772,115963,248177,2451310,1881993,853339,34,245.7925907,361,54802,87563,127,0,18553,17738,815,5735.941474,4625.799351,967.6037732,142.53835
481,ODISHA,KHORDHA,118167,225666,79042,160219,1457825,1073113,461435,34,244.9278205,592,30989,47009,126,0,11872,10324,1548,3237.004601,2628.352282,509.5943091,99.05801
482,ODISHA,GAJAPATI,106058,194535,89299,169423,3084144,1718468,868021,34,231.220756,915,49781,74175,140,1,16706,14450,2256,5013.130775,3973.454701,904.625084,135.05099
483,ODISHA,BOUDH,93488,171525,74201,141681,1572236,1499120,696005,37,240.414033,672,39766,64774,41,0,12208,11556,652,3913.370401,3604.094851,219.4396594,89.83589
484,ODISHA,SONEPUR,114459,196695,82699,147520,1598668,1203597,477888,32,252.2442557,363,37430,54980,63,0,10439,9708,731,3817.571067,3036.004294,636.358513,145.20826
485,ODISHA,NUAPADA,99993,229899,86784,207971,4384709,2101350,1069325,41,362.4945931,4237,51106,99910,662,0,29769,26204,3565,8316.543855,7617.280131,552.9061133,146.35761
486,ODISHA,RAYAGADA,146588,243797,123911,210523,6310839,2771261,1348332,39,236.9338142,1673,70992,104304,449,0,25241,23249,1992,8276.316088,6566.054389,1575.961269,134.30043
487,ODISHA,NABARANGAPUR,213957,362589,175661,306931,6623489,4254878,1888413,47,235.6834377,6176,90365,133701,241,0,27395,26076,1319,10769.16503,10028.04274,633.1444776,107.97781
488,ODISHA,MALKANGIRI,112455,191165,95684,167442,3366329,2316180,1038947,42,241.4522819,2752,54906,78652,303,1,16988,15381,1607,6680.233691,5592.469463,909.5498585,178.21437
489,PUDUCHERRY,KARAIKAL,16730,21115,14264,18367,253000,366778,319083,31,294.1687669,0,11616,12308,26,0,501,377,124,1097.68442,1078.94632,3.3381,15.4
490,PUDUCHERRY,PONDICHERRY,57196,89765,44755,72524,547000,916601,797189,25,273.9509034,0,35744,39705,160,15,318,248,70,2645.845446,2511.03672,80.1346855,54.67404
491,PUNJAB,AMRITSAR,99632,124519,61793,79330,959938,675658,399760,24,302.1551325,25,27705,29738,37,105,9590,7723,1867,2367.503737,2041.535325,325.968412,0
492,PUNJAB,BARNALA,37615,60199,26339,44388,608916,419759,300758,25,302.5168644,47,16529,19075,56,1,2516,1842,674,1494.745294,1269.841765,224.9035292,0
493,PUNJAB,BHATINDA,100627,167563,67695,121635,1392049,935337,702517,19,304.3369138,7,47171,55764,807,2,4067,2830,1237,3046.182157,2846.57576,199.6063978,0
494,PUNJAB,FARIDKOT,52191,91661,40056,74035,778835,531369,362309,21,301.3639354,2,24180,31208,100,7,1869,1291,578,1778.405925,1601.35453,177.0513945,0
495,PUNJAB,FATEHGARH SAHIB,54150,80518,36871,58513,1695657,1138564,914932,42,305.6837894,43,26695,28916,162,1,6056,5061,995,3608.051966,3480.40558,127.6463856,0
496,PUNJAB,Fazilka,137306,249660,107560,202496,2357021,1574093,944755,21,273.6119727,23,71968,100376,190,8,5902,4269,1633,6277.97431,4306.90691,1971.0674,0
497,PUNJAB,FEROZEPUR,111698,171259,67638,108077,1399142,996294,529140,26,293.6735323,88,37360,46444,46,121,11609,9151,2458,3623.435515,2925.851782,697.5837329,0
498,PUNJAB,GURDASPUR,108960,124685,61486,70965,938483,620523,287225,25,300.6575104,62,24495,26120,41,164,11338,8668,2670,3375.25597,1865.649003,1509.606967,0
499,PUNJAB,HOSHIARPUR,107204,161870,68853,109068,1153152,810323,491936,28,313.3282047,16,28590,29966,19,181,9742,7208,2534,2908.348086,2538.970508,369.3775781,0
500,PUNJAB,JALANDHAR,72401,97144,41389,56407,379660,282464,212498,21,307.2938151,2,13253,14043,17,257,5298,4635,663,1285.890317,867.9944019,417.8959151,0
501,PUNJAB,KAPURTHALA,46259,65495,30318,43464,459942,332331,248576,23,300.1209367,2,14386,15401,32,59,5517,4871,646,1497.696895,997.39491,500.3019849,0
502,PUNJAB,LUDHIANA,105079,131988,69658,92478,2095812,1453639,1201034,30,301.2291392,24,47261,50378,75,29,10339,7962,2377,5390.713484,4378.784247,1011.929237,0
503,PUNJAB,MALERKOTLA,19548,26602,13323,19366,343493,263189,209409,27,307.0802427,4,9617,10567,16,18,1212,1115,97,820.8799977,808.20142,12.6785777,0
504,PUNJAB,MANSA,82035,143041,50894,97292,1017428,673487,497682,21,263.5852793,13,30620,35863,184,6,2998,1663,1335,1925.80233,1775.21259,150.5897402,0
505,PUNJAB,MOGA,90528,146852,59367,101191,1126109,762605,554961,22,300.0148966,15,33810,39443,49,8,4286,3190,1096,2479.810673,2287.928602,191.8820713,0
506,PUNJAB,MUKATSAR,103162,190786,78105,150743,1413659,946916,657187,19,317.1093969,3,48833,62529,176,5,8162,6220,1942,3603.801349,3002.759617,601.0417326,0
507,PUNJAB,NAWANSHAHR,48594,62743,33793,45234,902454,611005,456335,30,311.9047106,11,19821,20934,26,9,4872,4158,714,2564.888878,1905.753377,659.1355009,0
508,PUNJAB,Pathankot,39806,51669,23891,31066,581060,400317,109546,37,305.1509004,36,10660,11469,22,22,4776,4184,592,1869.991389,1221.57093,648.4204593,0
509,PUNJAB,PATIALA,127022,182459,88758,135450,1767165,1208546,937765,22,308.7937137,16,54483,60561,116,68,9204,7398,1806,3820.487555,3731.914075,88.57348082,0
510,PUNJAB,ROPAR,51471,72299,30905,46080,699692,515954,405804,30,306.1366537,4,16908,18045,28,67,5081,4757,324,1717.990023,1579.52431,138.4657127,0
511,PUNJAB,SANGRUR,84026,125726,62260,98436,1727998,1146535,835608,25,306.8624069,32,44204,49351,88,8,5112,4017,1095,4044.370906,3518.284897,526.0860085,0
512,PUNJAB,SAS NAGAR MOHALI,33673,44707,18309,25058,380004,254054,213717,30,298.6231746,11,8409,8938,11,58,3577,2989,588,938.1853317,758.66412,179.5212117,0
513,PUNJAB,TARN TARAN,105450,153385,44712,61915,822331,590491,343047,24,308.7226738,55,23971,25286,30,94,7349,7259,90,3019.331318,1822.979604,1196.351714,0
514,RAJASTHAN,SRI GANGANAGAR,320545,612506,266478,516453,5037550,5219127,3650898,29,197.7333873,240,178431,207602,543,0,17544,13754,3790,10768.28815,10319.95661,402.61119,45.72035
515,RAJASTHAN,HANUMANGARH,286695,606034,213788,457617,5120656,3873562,2659706,29,209.4838927,129,133235,149107,309,0,13242,10446,2796,8751.656504,8114.488464,492.30195,144.86609
516,RAJASTHAN,BIKANER,403481,784011,317515,621544,5990143,5710689,2943752,37,246.7933758,857,152152,224020,527,0,27993,19799,8194,15664.35613,14093.60216,1449.688329,121.06564
517,RAJASTHAN,CHURU,363264,733461,283698,582267,4042349,4592188,2907612,38,203.9816764,403,120827,151915,265,0,18642,15248,3394,11090.97546,9367.222065,1674.495761,49.25763
518,RAJASTHAN,JHUNJHUNU,191976,365379,100651,199948,2587535,879708,584724,29,191.6647309,26,30077,32856,145,0,6809,5299,1510,1986.176961,1686.089971,223.07153,77.01546
519,RAJASTHAN,ALWAR,326450,599282,224064,423371,3217038,2189713,1656531,24,224.7242382,122,88179,101966,423,10,10299,9126,1173,5252.509232,4920.815859,261.6791629,70.01421
520,RAJASTHAN,BHARATPUR,378216,800786,214964,472913,2840112,1760370,1138239,25,203.2099161,144,69342,85419,554,2,6353,6177,176,3789.609369,3577.246399,151.97601,60.38696
521,RAJASTHAN,DHOLPUR,206316,414778,140091,288521,2402371,2034383,1164052,32,222.6699835,59,62117,83633,327,0,6278,5582,696,4855.03106,4529.96029,289.42591,35.64486
522,RAJASTHAN,KARAULI,256813,469104,185914,347757,4400032,2882734,1681737,34,226.7042503,267,83173,118436,389,1,14360,12092,2268,7097.632572,6535.280502,499.0256,63.32647
523,RAJASTHAN,SAWAI MADHOPUR,265880,574274,191460,417410,3057899,1703777,1047021,27,192.319263,87,61874,84331,266,3,16053,14056,1997,3457.72798,3276.69137,140.01245,41.02416
524,RAJASTHAN,DAUSA,213824,386677,141698,265190,2543737,981842,798455,25,207.2069304,24,39271,45939,166,7,6970,6645,325,2262.678229,2034.444669,185.46618,42.76738
525,RAJASTHAN,JAIPUR,448037,802906,284910,515396,3454026,2527761,2193558,26,198.4553247,117,94825,102992,266,8,11358,10102,1256,5592.617621,5016.476301,431.4359,144.70542
526,RAJASTHAN,SIKAR,307690,576702,141662,276142,3080422,1637108,1220451,33,220.5944465,174,48940,54467,132,1,9215,7624,1591,4070.896891,3611.369331,404.56573,54.96183
527,RAJASTHAN,NAGAUR,642006,1411728,523700,1167067,9005522,9849277,7117319,33,213.3995182,229,295848,349937,967,0,30737,24031,6706,23117.05977,21018.30966,1769.593033,329.15707
528,RAJASTHAN,JODHPUR,585619,1233185,460278,973805,7611192,7549139,5317570,34,203.5430501,787,217823,266821,547,4,24355,21869,2486,16716.87386,15365.74778,1036.649015,314.47707
529,RAJASTHAN,JAISALMER,165193,303036,147242,271806,3951558,4293178,2763072,46,232.6766419,1271,91808,129231,280,0,21453,16970,4483,11333.81977,9989.222402,1312.81738,31.77999
530,RAJASTHAN,BARMER,678297,1328842,588788,1159592,16461577,8979334,5133772,41,252.4573891,2523,217850,337154,695,0,109164,72046,37118,27142.52287,22668.99218,4209.155121,264.37557
531,RAJASTHAN,JALORE,332111,674264,255918,522798,4999287,2761740,2250572,29,229.6094525,145,94668,108152,325,0,17193,15069,2124,6941.443768,6341.216094,463.365774,136.8619
532,RAJASTHAN,SIROHI,198121,413699,154691,330400,5054218,2918478,2406542,33,195.3409108,55,86277,98414,265,0,9074,7708,1366,6017.059727,5700.981507,269.5069,46.57132
533,RAJASTHAN,PALI,400136,881432,297922,666717,6820067,3513078,2927365,25,193.0900287,36,135843,147177,350,0,12266,11348,918,7499.122028,6783.403318,607.58374,108.13497
534,RAJASTHAN,AJMER,490880,916532,416229,783161,10818333,8907011,6947577,30,189.9601608,242,288624,321272,985,0,19616,16729,2887,18134.68799,16919.77242,1134.261085,80.65449
535,RAJASTHAN,TONK,297704,674088,219157,501232,3893242,2787230,1658641,33,207.6227427,558,84039,120804,420,0,18624,15938,2686,6126.843326,5786.923372,292.020584,47.89937
536,RAJASTHAN,BUNDI,242948,570383,179376,425566,3956376,2078954,1380899,24,197.7916902,102,84909,101230,321,0,12590,11025,1565,4306.03336,4111.998255,120.9091645,73.12594
537,RAJASTHAN,BHILWARA,531185,964037,483371,885413,10453994,12307834,9450066,35,206.6584156,208,350090,410399,1053,0,33225,31018,2207,26860.79581,25435.17474,1293.37115,132.24992
538,RAJASTHAN,RAJSAMAND,252657,481105,206980,401704,7161278,5098581,4369407,39,212.6083409,128,130381,142734,846,0,9815,8819,996,11198.34327,10840.00847,306.01409,52.32071
539,RAJASTHAN,UDAIPUR,570656,1208270,409471,885272,10093031,8757657,6133435,39,207.0538216,1040,223895,275886,647,1,43903,37423,6480,19708.07507,18133.0635,1366.424239,208.58733
540,RAJASTHAN,DUNGARPUR,402376,814325,364382,745497,10599563,15880813,11134732,51,205.3067706,1266,308193,422422,1517,0,37493,28661,8832,34451.10593,32604.38431,1695.692263,151.02936
541,RAJASTHAN,BANSWARA,434546,903875,393921,830112,13689332,15040795,8652364,47,208.1401395,3259,319461,516889,3504,2,53143,45114,8029,32220.6105,31305.9317,688.283864,226.39494
542,RAJASTHAN,CHITTORGARH,299268,598977,194492,404809,4578340,3609404,2591358,36,213.745521,344,99239,124954,324,0,11527,8509,3018,8135.247293,7714.939383,347.8677,72.44021
543,RAJASTHAN,KOTA,166799,338362,130118,270682,4118002,2804083,1971788,32,194.0830149,201,86342,106520,398,0,7945,6941,1004,5577.555907,5442.248827,85.2369,50.07018
544,RAJASTHAN,BARAN,260890,597777,189796,440185,3640350,2983441,1775464,32,190.7023706,874,93007,131636,309,3,16311,13260,3051,5998.350931,5689.492711,200.57563,108.28259
545,RAJASTHAN,JHALAWAR,361541,689977,313110,604152,7038593,10433366,5550138,43,215.8223101,879,237165,353642,679,0,32622,26782,5840,23517.6467,22517.53152,878.905568,121.20961
546,RAJASTHAN,PRATAPGARH,279938,525488,247896,472479,8282275,9370108,5208916,48,202.217847,1130,191592,294650,1046,0,38334,32538,5796,19634.8382,18948.03066,618.80083,68.00671
547,SIKKIM,Gangtok District,11553,17558,8677,13296,400000,286761,173931,45,251.781358,85,6359,7141,12,0,937,773,164,961.0532293,722.01074,206.9738993,32.06859
548,SIKKIM,Gyalshing District,14032,25191,12639,23400,600000,336452,185925,38,253.0626419,200,8809,11071,19,0,1238,826,412,1319.647951,851.43432,431.6532409,36.56039
549,SIKKIM,Mangan District,7943,11955,7034,10701,200000,112932,47663,23,278.636576,0,4758,4817,14,0,1053,940,113,467.3159287,314.669858,119.8110607,32.83501
550,SIKKIM,Namchi District,26712,46589,21600,38747,800000,418751,224757,28,247.9063869,37,14809,15901,39,0,3069,2298,771,1654.171146,1038.110474,561.8167817,54.24389
551,SIKKIM,PAKYONG,13191,17563,10837,14650,400000,335089,207915,41,248.095808,87,8095,8509,34,0,1065,915,150,1091.718344,831.341762,224.1512517,36.22533
552,SIKKIM,SORENG,15254,24810,13682,22784,600000,349331,183966,36,243.4072155,79,9666,11067,7,0,1931,1561,370,1144.888078,850.29686,262.5319981,32.05922
553,TAMIL NADU,KANCHIPURAM,155119,203205,126277,168936,2997401,4624049,4064746,42,255.8047506,372,109957,117296,1220,0,11052,5752,5300,14231.05393,11828.53701,2039.891709,362.62521
554,TAMIL NADU,TIRUVALLUR,336645,460895,260512,366437,7468085,8071659,7333648,34,257.3427756,88,231503,239421,2851,0,18629,8683,9946,24638.54861,20771.83131,3253.020692,613.69661
555,TAMIL NADU,CUDDALORE,482685,819186,409741,724801,13330182,10009660,7800504,27,257.9388681,253,365130,473008,4720,0,30322,14415,15907,30181.89232,25818.80371,3649.204531,713.88408
556,TAMIL NADU,VILLUPURAM,482904,777494,433061,710323,11336616,13432562,11037268,34,246.0946686,1026,390707,451870,10616,0,31665,7024,24641,38128.70381,33056.81894,4179.53636,892.34851
557,TAMIL NADU,VELLORE,170321,227080,129125,171221,3479833,4704177,4140115,41,235.2598532,243,113400,122324,1525,0,11752,5573,6179,12690.37165,11067.03991,1314.640318,308.69143
558,TAMIL NADU,TIRUVANNAMALAI,563823,829099,510255,764352,13417861,15831914,13123545,33,266.0520585,1540,467724,518754,13585,0,28448,12534,15914,48731.14705,42121.1331,5725.74991,884.26404
559,TAMIL NADU,SALEM,498730,646045,352155,473693,8724755,11468572,10265742,41,240.5076673,977,277435,301089,3609,0,24522,11211,13311,33857.32824,27582.79499,5870.512493,404.02076
560,TAMIL NADU,NAMAKKAL,258133,336233,186323,249423,4556282,5409184,4835769,37,248.6506044,383,143241,153113,3243,0,11310,5457,5853,15892.75229,13449.96871,2109.087349,333.69623
561,TAMIL NADU,DHARMAPURI,279423,323644,236177,276626,6360250,7318219,6809431,34,241.316524,441,210204,225257,2297,0,13502,7740,5762,20245.46071,17660.07171,2273.70483,311.68417
562,TAMIL NADU,ERODE,246120,311330,152432,197911,3692350,3941376,3416594,39,265.3403776,348,100915,104763,1387,0,11713,6604,5109,12441.32927,10458.06196,1652.685459,330.58185
563,TAMIL NADU,COIMBATORE,174219,219304,93244,119580,2325005,1387739,1275826,29,272.7112518,44,47828,49017,233,0,9706,5402,4304,5341.106367,3784.520399,1324.310117,232.27585
564,TAMIL NADU,THE NILGIRIS,58269,72090,37697,48475,988487,629047,530269,34,280.0387221,24,18345,19196,201,0,3114,1366,1748,2482.754552,1761.57518,621.0083819,100.17099
565,TAMIL NADU,THANJAVUR,334613,515829,273008,438234,7595361,9075243,7637233,38,262.1344325,1211,237902,287742,3502,0,22652,10864,11788,27204.48894,23789.33674,2742.400437,672.75176
566,TAMIL NADU,NAGAPATTINAM,122982,192158,108800,175476,3175385,4705742,3679363,48,257.5571338,453,96366,128568,718,0,15296,6086,9210,14268.02327,12119.97422,1983.988287,164.06076
567,TAMIL NADU,TIRUVARUR,241535,421163,185694,344462,5506534,6105527,4693276,37,244.4808568,1043,161028,218409,2624,0,22488,9114,13374,18587.7697,14926.84472,3160.037555,500.88742
568,TAMIL NADU,TIRUCHIRAPPALLI,320335,402562,300805,379245,7283470,12078380,10510203,43,283.8820704,1251,276445,308551,4245,0,16887,7619,9268,39151.69214,34288.35521,4209.046703,654.29023
569,TAMIL NADU,KARUR,162637,219252,130885,181276,3205738,4110248,3592798,40,257.6311118,663,102692,111602,1697,0,15035,5884,9151,12990.37101,10589.27762,2225.552584,175.54081
570,TAMIL NADU,PERAMBALUR,141403,196666,124522,177586,3175385,4167664,3536806,37,266.2250281,294,112445,131510,1443,0,7378,3425,3953,12154.73391,11095.36465,955.9163928,103.45286
571,TAMIL NADU,PUDUKKOTTAI,335030,504632,293716,452353,7202202,9716387,8682218,36,263.4140552,250,265325,293163,1631,0,27362,12256,15106,29191.20123,25594.32902,3105.995164,490.87705
572,TAMIL NADU,MADURAI,331938,415249,271426,347031,6429180,8242160,7206947,34,254.3279979,519,239569,260508,4061,0,15567,7713,7854,25935.58457,20962.12051,4540.072773,433.39129
573,TAMIL NADU,THENI,147579,195173,91526,126633,2411150,1593711,1363045,25,245.9669796,133,61858,67347,1046,0,3816,2425,1391,6123.807511,3920.00281,2036.919401,166.8853
574,TAMIL NADU,DINDIGUL,361451,484243,288771,396633,8830341,9922161,8492155,41,259.6609961,711,240701,263172,3406,0,12755,6212,6543,31165.24377,25763.98209,5092.851196,308.41048
575,TAMIL NADU,RAMANATHAPURAM,231334,300829,196692,260963,5212152,8053973,7130086,46,257.6312988,473,172717,188342,1887,0,18319,9894,8425,25236.12842,20749.55524,4005.810982,480.7622
576,TAMIL NADU,VIRUDHUNAGAR,270684,353349,219914,294827,5598652,9790233,8638020,55,250.6896409,2170,175767,191651,3919,0,11038,5793,5245,27724.03109,24543.09995,2838.803304,342.12783
577,TAMIL NADU,SIVAGANGAI,228515,314920,190883,268643,4820749,7846094,7125737,48,251.8756691,554,162143,171859,2387,0,19607,10286,9321,24936.96255,19762.40176,4756.135631,418.42516
578,TAMIL NADU,TIRUNELVELI,145777,194851,101340,139693,2670176,2895476,2623318,38,255.4598335,117,75911,79918,657,0,7079,3569,3510,8803.756835,7396.77817,1074.458545,332.52012
579,TAMIL NADU,THOOTHUKKUDI,208671,274950,153186,205888,3667745,5625709,4982177,45,225.7756732,813,123221,131743,1949,0,9697,4243,5454,15547.08661,12701.48237,2458.459824,387.14442
580,TAMIL NADU,KANNIYAKUMARI,122736,157891,43452,59493,1159871,1146606,992088,44,250.1001922,116,25830,26436,445,1,4109,2215,1894,3718.751606,2867.66381,675.3273459,175.76045
581,TAMIL NADU,KRISHNAGIRI,307498,355576,251413,292920,5917384,6672559,6101414,32,255.5559821,235,204831,214877,2678,0,20074,9276,10798,19514.70853,17052.12368,2104.832508,357.75234
582,TAMIL NADU,ARIYALUR,196915,289822,178599,268829,5308804,4514068,3623746,27,238.457485,88,162012,201285,1725,0,10932,4570,6362,12143.42064,10764.13302,1205.811559,173.47606
583,TAMIL NADU,TIRUPPUR,240821,319825,150836,202821,3786754,4117675,3555310,42,254.9106956,571,97101,101104,552,0,12060,5950,6110,13784.71214,10496.39399,3070.66468,217.65347
584,TAMIL NADU,CHENGALPATTU,243998,311412,198821,261533,5132485,7083317,6198753,40,248.6632337,272,173555,186776,4017,0,15139,5926,9213,20674.54041,17613.60511,2738.996894,321.93841
585,TAMIL NADU,Ranipet,188850,280743,153584,236579,3591113,4766196,4293716,34,238.1965222,141,137109,149411,1860,0,8184,3781,4403,13177.05967,11352.91311,1603.177434,220.96912
586,TAMIL NADU,TIRUPATHUR,158987,209346,126632,169630,3663863,4274951,3903338,39,252.432753,100,108857,117120,1068,0,18943,7716,11227,12206.97289,10791.3765,1241.255143,174.34125
587,TAMIL NADU,TENKASI,184292,275932,142745,221033,3716278,4762449,3921573,40,262.0526605,638,118424,138402,2015,0,8518,3454,5064,14425.75065,12480.12431,1727.704125,217.92222
588,TAMIL NADU,KALLAKURICHI,323357,614253,290856,568417,7361912,6692194,4955480,26,244.1257422,153,257031,355461,2956,0,20117,9299,10818,22097.44444,16337.36827,5354.391591,405.68458
589,TAMIL NADU,MAYILADUTHURAI,175038,292182,154821,267268,4900209,5666456,4210797,38,261.5158345,1022,145672,207465,1310,0,14678,5254,9424,17668.66012,14818.67969,2611.479175,238.50125
590,TELANGANA,Mahabubnagar,142577,232938,87325,160820,1800000,2300875,1590709,43,197.1674958,477,53390,74889,556,0,20372,17935,2437,8305.590021,4536.57762,3435.774421,333.23798
591,TELANGANA,Vikarabad,189582,389526,132195,290062,3300000,4335535,2474141,46,190.0649736,817,92782,162554,1729,0,25860,24435,1425,14922.90653,8240.333453,6290.31891,392.25417
592,TELANGANA,Medak,171832,343254,118798,256284,2600000,2989362,1744457,38,189.4711674,286,77675,133217,1235,0,12746,11982,764,10456.50604,5663.979078,4467.84676,324.6802
593,TELANGANA,Nizamabad,267518,508201,175213,348055,3700000,3552046,2383090,35,161.2208087,164,98853,138756,2115,0,17330,14815,2515,11984.39597,5726.637285,5823.862007,433.89668
594,TELANGANA,Adilabad,171598,343406,112048,243481,2000000,2787602,1415292,41,211.2908537,407,66674,121690,1196,0,17597,16260,1337,10290.80948,5889.948064,4085.205799,315.65562
595,TELANGANA,Karimnagar,138187,257719,84256,169091,1600000,1404449,1032109,30,204.9193107,352,46407,61478,1096,0,15573,12310,3263,5846.685177,2877.98721,2738.901207,229.79676
596,TELANGANA,Warangal,129721,266809,82104,177651,1500000,1300252,870498,30,163.4828028,109,42288,64040,935,0,13148,10563,2585,4474.053587,2125.688413,2119.867324,228.49785
597,TELANGANA,Khammam,321419,682479,188014,430464,3300000,3573907,2231548,29,203.0211859,125,119919,187633,2549,0,31082,23996,7086,12585.60054,7255.788376,4756.610008,573.20216
598,TELANGANA,Nalgonda,377848,807864,238045,550496,3600000,5525910,3517276,35,160.0771607,599,156527,256876,3924,0,33547,27979,5568,15390.1798,8845.71983,5911.872507,632.58746
599,TELANGANA,Jogulamba Gadwal,169634,364018,88838,202605,1600000,1592813,879413,33,166.5427332,211,47956,79661,650,0,16824,16135,689,5595.846144,2652.714305,2706.51287,236.61897
